anio,pais,combustible,continente,Idanio,Idpais,Idcombustible,Idcontinente
None,Lebanon,None,None,6adf97f83acf6453d4a6a4b1070f3754,b45ff92cc522bb89bfc3b8ef3fc21b7d,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Lesotho,None,None,6adf97f83acf6453d4a6a4b1070f3754,e99bb6b91ef51dbe4eec9340dc7c68cf,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Liberia,None,None,6adf97f83acf6453d4a6a4b1070f3754,642cab67fc263bb61ae4ccbd577c8aa4,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Libya,None,None,6adf97f83acf6453d4a6a4b1070f3754,742b8abe5776a6d942a92ce7dc7d84a0,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Lithuania,None,None,6adf97f83acf6453d4a6a4b1070f3754,d9051e0b77f8bb5521389618e70e2ada,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Luxembourg,None,None,6adf97f83acf6453d4a6a4b1070f3754,06630c890abadde9228ea818ce52b621,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Macau,None,None,6adf97f83acf6453d4a6a4b1070f3754,9d6c9d893aa285a736aeabb2b66b316f,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Madagascar,None,None,6adf97f83acf6453d4a6a4b1070f3754,b5bcce260d9e303ca0e63f055187ed28,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Malawi,None,None,6adf97f83acf6453d4a6a4b1070f3754,70965feb0441ff7fc1982fc5c509136e,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Malaysia,None,None,6adf97f83acf6453d4a6a4b1070f3754,3f0e49c46cbde0c7adf5ea04a97ab261,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Maldives,None,None,6adf97f83acf6453d4a6a4b1070f3754,62235142f3fca96e1f2cd0ed4a7de48d,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Mali,None,None,6adf97f83acf6453d4a6a4b1070f3754,e90c93ceb8ccdcdf3b797f47edee866d,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Malta,None,None,6adf97f83acf6453d4a6a4b1070f3754,92468e8a62373add2b9caefddbcf1303,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Martinique,None,None,6adf97f83acf6453d4a6a4b1070f3754,899c4b2a0d41d5b86e2dbc3b2f5380cf,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Mauritania,None,None,6adf97f83acf6453d4a6a4b1070f3754,d7fe73b6846dfc672236e636aa2cf6b5,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Mauritius,None,None,6adf97f83acf6453d4a6a4b1070f3754,07f3ca235faaa1c9ad16facef5526d8b,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Mexico,None,None,6adf97f83acf6453d4a6a4b1070f3754,8dbb07a18d46f63d8b3c8994d5ccc351,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Micronesia,None,None,6adf97f83acf6453d4a6a4b1070f3754,19a5a05a4982fef88f96039a43dbcfd8,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Moldova,None,None,6adf97f83acf6453d4a6a4b1070f3754,0c12f5495afe76d9242ed25668979de9,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Mongolia,None,None,6adf97f83acf6453d4a6a4b1070f3754,bb6a72b6a93150d4181e50496fc15f5a,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Montenegro,None,None,6adf97f83acf6453d4a6a4b1070f3754,4e92f9d2cdf0b8eb493ae3a19709d121,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Montserrat,None,None,6adf97f83acf6453d4a6a4b1070f3754,3bac87d64d97e96d0e935628a9383379,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Morocco,None,None,6adf97f83acf6453d4a6a4b1070f3754,4d4a1722d8e85909a576da2c42878ff0,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Mozambique,None,None,6adf97f83acf6453d4a6a4b1070f3754,a6d3bea3fa66775952e080b90bb0c4f1,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Namibia,None,None,6adf97f83acf6453d4a6a4b1070f3754,69f4287626aee77f93e2c891b518838b,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Nauru,None,None,6adf97f83acf6453d4a6a4b1070f3754,d0c5ab6bebe308a495693e990a2947bc,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Nepal,None,None,6adf97f83acf6453d4a6a4b1070f3754,7fef6b003c726890ea5ca3708fe8ff56,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Netherlands,None,None,6adf97f83acf6453d4a6a4b1070f3754,a67d4cbdd1b59e0ffccc6bafc83eb033,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,New Caledonia,None,None,6adf97f83acf6453d4a6a4b1070f3754,53a952d732c715fb1b34898400320751,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,New Zealand,None,None,6adf97f83acf6453d4a6a4b1070f3754,c51ed580ea5e20c910d951f692512b4d,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Nicaragua,None,None,6adf97f83acf6453d4a6a4b1070f3754,3bfe17f6c2d1b8941df303de7aec2eb0,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Niger,None,None,6adf97f83acf6453d4a6a4b1070f3754,bf2ec44b27fc25c6fd8a38792b9ef2a8,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Nigeria,None,None,6adf97f83acf6453d4a6a4b1070f3754,5d839147c83e283c1d1bb705dc50586f,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Niue,None,None,6adf97f83acf6453d4a6a4b1070f3754,de48fee9c7511bf7158b1e28b3d0baec,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,North Korea,None,None,6adf97f83acf6453d4a6a4b1070f3754,855b3780658ec33023cefc8b4e397a1d,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,North Macedonia,None,None,6adf97f83acf6453d4a6a4b1070f3754,e0b0caa59748528a7b1a52272e7487cd,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Northern Mariana Islands,None,None,6adf97f83acf6453d4a6a4b1070f3754,d3dbf1b55f9b0c2a605046b9f14f720a,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Norway,None,None,6adf97f83acf6453d4a6a4b1070f3754,d5b9290a0b67727d4ba1ca6059dc31a6,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Oman,None,None,6adf97f83acf6453d4a6a4b1070f3754,1c77b9733832da9d1ffac66620f3c006,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Pakistan,None,None,6adf97f83acf6453d4a6a4b1070f3754,b9698b8546220246fe600a949db326bf,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Panama,None,None,6adf97f83acf6453d4a6a4b1070f3754,6bec347f256837d3539ad619bd489de7,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Papua New Guinea,None,None,6adf97f83acf6453d4a6a4b1070f3754,f670d3806d530c3e5cb1f31dca457751,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Paraguay,None,None,6adf97f83acf6453d4a6a4b1070f3754,73101738da81e5cbb87b64cd400a4405,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Peru,None,None,6adf97f83acf6453d4a6a4b1070f3754,84c8fa2341f7d052a1ee3a36ff043798,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Philippines,None,None,6adf97f83acf6453d4a6a4b1070f3754,77dab2f81a6c8c9136efba7ab2c4c0f2,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Poland,None,None,6adf97f83acf6453d4a6a4b1070f3754,94880bda83bda77c5692876700711f15,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Portugal,None,None,6adf97f83acf6453d4a6a4b1070f3754,ea71b362e3ea9969db085abfccdeb10d,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Puerto Rico,None,None,6adf97f83acf6453d4a6a4b1070f3754,f76257271129c703d6c0442c8ac00dae,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Qatar,None,None,6adf97f83acf6453d4a6a4b1070f3754,7cc7ef17c45527cf90fcf27516794d21,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Romania,None,None,6adf97f83acf6453d4a6a4b1070f3754,0c7d5ae44b2a0be9ebd7d6b9f7d60f20,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Russia,None,None,6adf97f83acf6453d4a6a4b1070f3754,5feb168ca8fb495dcc89b1208cdeb919,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Rwanda,None,None,6adf97f83acf6453d4a6a4b1070f3754,9d7ed5d77d647e89c3cc11757d651dc2,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Saint Kitts and Nevis,None,None,6adf97f83acf6453d4a6a4b1070f3754,5976169ac1852fff6f0b9095100407fc,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Saint Lucia,None,None,6adf97f83acf6453d4a6a4b1070f3754,d1ef233007d706d71aa6d46642d5f804,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Saint Pierre and Miquelon,None,None,6adf97f83acf6453d4a6a4b1070f3754,30ce3dcbcc38394722184a4bfd423d56,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Samoa,None,None,6adf97f83acf6453d4a6a4b1070f3754,0861134397888c470803c77fb6cd2943,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Sao Tome and Principe,None,None,6adf97f83acf6453d4a6a4b1070f3754,aca4f717a9933ddf7ab0ffc877d0ed48,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Saudi Arabia,None,None,6adf97f83acf6453d4a6a4b1070f3754,b835b521c29f399c78124c4b59341691,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Senegal,None,None,6adf97f83acf6453d4a6a4b1070f3754,9986531359550785caffb2032622437f,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Serbia,None,None,6adf97f83acf6453d4a6a4b1070f3754,2ff6e535bd2f100979a171ad430e642b,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Seychelles,None,None,6adf97f83acf6453d4a6a4b1070f3754,d2e4449b45608e33e472d939a73868f7,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Sierra Leone,None,None,6adf97f83acf6453d4a6a4b1070f3754,97527dec0ae1a703599581d4f25dfbce,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Singapore,None,None,6adf97f83acf6453d4a6a4b1070f3754,458e4cbc78201c1aec5fc53a31c59378,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Slovakia,None,None,6adf97f83acf6453d4a6a4b1070f3754,88a392b5a8d8f73986d83a2deefb0472,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Slovenia,None,None,6adf97f83acf6453d4a6a4b1070f3754,00247297c394dd443dc97067830c35f4,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Solomon Islands,None,None,6adf97f83acf6453d4a6a4b1070f3754,a573f4ed911c3b437599818762263a0c,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Somalia,None,None,6adf97f83acf6453d4a6a4b1070f3754,921855f753932de762b780405a50bdf7,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,South Africa,None,None,6adf97f83acf6453d4a6a4b1070f3754,c89bc418c38da77213c6c6e03cac2510,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,South Korea,None,None,6adf97f83acf6453d4a6a4b1070f3754,4d4803b0bb7dab1b0627e4f8277edc5b,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,South Sudan,None,None,6adf97f83acf6453d4a6a4b1070f3754,0a6355f86240762961997e70c5e7087d,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Spain,None,None,6adf97f83acf6453d4a6a4b1070f3754,907eba32d950bfab68227fd7ea22999b,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Sri Lanka,None,None,6adf97f83acf6453d4a6a4b1070f3754,ef547e2d9750443f6d203233dfa38e39,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Sudan,None,None,6adf97f83acf6453d4a6a4b1070f3754,74458a3d3e5f3074226b1f9fa23c9163,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Suriname,None,None,6adf97f83acf6453d4a6a4b1070f3754,64446ac025106d201779cb4bf5ab6b2e,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Sweden,None,None,6adf97f83acf6453d4a6a4b1070f3754,c8f4261f9f46e6465709e17ebea7a92b,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Switzerland,None,None,6adf97f83acf6453d4a6a4b1070f3754,3ad08396dc5afa78f34f548eea3c1d64,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Syria,None,None,6adf97f83acf6453d4a6a4b1070f3754,465718d0a1bc8363ad01390923fad5d1,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Taiwan,None,None,6adf97f83acf6453d4a6a4b1070f3754,551fe18ef47d4e6e9d943b9a68ada21d,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Tajikistan,None,None,6adf97f83acf6453d4a6a4b1070f3754,b5a9722262bbb7a7449ebc0f4394c901,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Tanzania,None,None,6adf97f83acf6453d4a6a4b1070f3754,c03b1123e45fa00da3142e0424ee5eec,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Thailand,None,None,6adf97f83acf6453d4a6a4b1070f3754,103357e3e40a9c0e4e9d36110f7bbc7a,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Timor-Leste,None,None,6adf97f83acf6453d4a6a4b1070f3754,0a25bbf25b60f1908597d7d60e26696e,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Togo,None,None,6adf97f83acf6453d4a6a4b1070f3754,1e746c5c85c4c0de3a0858b0dd047476,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Tonga,None,None,6adf97f83acf6453d4a6a4b1070f3754,dd5cb49bc56af9d53f9f9e1e5b425ab0,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Trinidad and Tobago,None,None,6adf97f83acf6453d4a6a4b1070f3754,63965a52775c39cd64c3ef0248d585b1,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Tunisia,None,None,6adf97f83acf6453d4a6a4b1070f3754,d6dacba23ab4a1d5b72f223bfb010a05,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Turkey,None,None,6adf97f83acf6453d4a6a4b1070f3754,221cdfb73049678e244380b45872cbb2,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Turkmenistan,None,None,6adf97f83acf6453d4a6a4b1070f3754,f5d993d8e89c037d614ec8dc2559e4b7,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Turks and Caicos Islands,None,None,6adf97f83acf6453d4a6a4b1070f3754,be741c06c32a1f9d444e9607a126832d,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Tuvalu,None,None,6adf97f83acf6453d4a6a4b1070f3754,4e18c1e699d8abc3422d67f2ff82c56b,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Uganda,None,None,6adf97f83acf6453d4a6a4b1070f3754,53b3c88ea00c4f0e137b4e6fe7bd23f1,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Ukraine,None,None,6adf97f83acf6453d4a6a4b1070f3754,f01fc92b23faa973f3492a23d5a705c5,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,United Arab Emirates,None,None,6adf97f83acf6453d4a6a4b1070f3754,8f6f28f0d2061af28bcf49d1725b2cbd,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,United Kingdom,None,None,6adf97f83acf6453d4a6a4b1070f3754,89f9c9f489be2a83cf57e53b9197d288,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,United States,None,None,6adf97f83acf6453d4a6a4b1070f3754,f253efe302d32ab264a76e0ce65be769,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Uruguay,None,None,6adf97f83acf6453d4a6a4b1070f3754,75497a22409db78dcc52c291e078bc10,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Uzbekistan,None,None,6adf97f83acf6453d4a6a4b1070f3754,a0a3e881895e46eb96218f0988d405b9,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Vanuatu,None,None,6adf97f83acf6453d4a6a4b1070f3754,fe07e488fe56260f45240c1c8a8882a8,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Venezuela,None,None,6adf97f83acf6453d4a6a4b1070f3754,e95294b730f61c8175550ec244bfcb50,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Vietnam,None,None,6adf97f83acf6453d4a6a4b1070f3754,fdef6daa799e80dbce1b561577b21181,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Western Sahara,None,None,6adf97f83acf6453d4a6a4b1070f3754,1bdb61bdbf5bc9a2cdc5db037ab610e0,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Yemen,None,None,6adf97f83acf6453d4a6a4b1070f3754,724bf4ca11a567636547a92a37e397b7,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Zambia,None,None,6adf97f83acf6453d4a6a4b1070f3754,b0aa0804e676a38255af4fd70236af7c,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Zimbabwe,None,None,6adf97f83acf6453d4a6a4b1070f3754,9d5116a2451bc98c2b46b93acbc1b4f0,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
