pais,codigo,continente,indice objetivos desarrollo sostenible,expectativa vida,indice desarrollo humano,pib per capita,grupo ingresos,poblacion,huella carbono,huella ecologica,biocapacidad,tierra,Idpais,Idcontinente
Kuwait,KWT,Asia,62.5,75.0,0.81,33.113,Altos, 4.1 ,14.2,15.8,0.5,5.0,05387f3ca38d7bd84ae35f31f2899ecf,154a67340e8c14dd5253dc4ff6120197
Kyrgyzstan,KGZ,Asia,74.0,71.0,0.70,1.094,Bajos, 6.3 ,1.4,2.9,1.2,1.0,5e4a24f76c22f03700b283dfbdf6eec1,154a67340e8c14dd5253dc4ff6120197
Lao People's Democratic Republic,LAO,Asia,63.0,68.0,0.61,1.786,Bajos-Medios, 7.1 ,1.2,4.1,1.7,1.2,81a6b6e5e6a1d60ce3bac4eee20444eb,154a67340e8c14dd5253dc4ff6120197
Latvia,LVA,Europe,79.2,75.0,0.86,16.252,Altos, 1.9 ,3.3,14.0,8.2,4.0,a09f4b2ae67f0a63ab8912047a1a1b55,912d59cdf1d3f551fae21f6f0062258f
Lebanon,LBN,Asia,66.8,79.0,0.75,6.205,Medios-Altos, 6.9 ,3.2,4.5,0.3,1.9,b45ff92cc522bb89bfc3b8ef3fc21b7d,154a67340e8c14dd5253dc4ff6120197
Lesotho,LSO,Africa,54.6,54.0,0.52,1.375,Bajos-Medios, 2.1 ,1.0,2.8,0.8,1.0,e99bb6b91ef51dbe4eec9340dc7c68cf,f5cd262901883dff68d06b215fb0f28e
Liberia,LBR,Africa,48.6,64.0,0.48,541,Bajos, 4.8 ,0.1,2.3,3.0,0.8,642cab67fc263bb61ae4ccbd577c8aa4,f5cd262901883dff68d06b215fb0f28e
Lithuania,LTU,Europe,76.7,76.0,0.88,17.744,Medios-Altos, 2.8 ,4.8,11.4,4.7,3.8,d9051e0b77f8bb5521389618e70e2ada,912d59cdf1d3f551fae21f6f0062258f
Luxembourg,LUX,Europe,74.2,82.0,0.91,111.381,Altos, 0.6 ,15.0,19.2,1.2,8.2,06630c890abadde9228ea818ce52b621,912d59cdf1d3f551fae21f6f0062258f
Madagascar,MDG,Africa,49.0,67.0,0.53,490,Bajos, 26.3 ,0.1,1.8,2.2,0.6,b5bcce260d9e303ca0e63f055187ed28,f5cd262901883dff68d06b215fb0f28e
Malawi,MWI,Africa,51.4,64.0,0.48,515,Bajos, 18.1 ,0.1,1.7,0.7,0.6,70965feb0441ff7fc1982fc5c509136e,f5cd262901883dff68d06b215fb0f28e
Malaysia,MYS,Asia,70.9,76.0,0.81,12.116,Medios-Altos, 31.5 ,5.2,8.5,2.2,2.7,3f0e49c46cbde0c7adf5ea04a97ab261,154a67340e8c14dd5253dc4ff6120197
Mali,MLI,Africa,52.2,59.0,0.43,779,Bajos, 19.1 ,0.3,3.2,1.9,1.0,e90c93ceb8ccdcdf3b797f47edee866d,f5cd262901883dff68d06b215fb0f28e
Malta,MLT,Europe,75.7,82.0,0.89,31.604,Altos, 0.4 ,0.0,6.8,0.5,3.4,92468e8a62373add2b9caefddbcf1303,912d59cdf1d3f551fae21f6f0062258f
Martinique,MTQ,North America,,,,,, 0.4 ,0.0,5.5,0.4,2.2,899c4b2a0d41d5b86e2dbc3b2f5380cf,5ffec2d87ab548202f8b549af380913a
Mauritania,MRT,Africa,55.5,65.0,0.54,1.704,Bajos-Medios, 4.4 ,0.7,5.0,3.9,1.6,d7fe73b6846dfc672236e636aa2cf6b5,f5cd262901883dff68d06b215fb0f28e
Mauritius,MUS,Africa,66.7,74.0,0.80,10.561,Medios-Altos, 1.3 ,0.0,5.0,0.7,2.0,07f3ca235faaa1c9ad16facef5526d8b,f5cd262901883dff68d06b215fb0f28e
Mexico,MEX,North America,69.1,75.0,0.78,10.381,Medios-Altos, 126.2 ,2.5,4.4,1.2,1.5,8dbb07a18d46f63d8b3c8994d5ccc351,5ffec2d87ab548202f8b549af380913a
Mongolia,MNG,Asia,63.8,70.0,0.74,4.211,Bajos-Medios, 3.2 ,4.6,15.3,14.1,4.6,bb6a72b6a93150d4181e50496fc15f5a,154a67340e8c14dd5253dc4ff6120197
Montenegro,MNE,Europe,68.2,77.0,0.83,8.180,Medios-Altos, 0.6 ,3.9,6.7,2.5,2.7,4e92f9d2cdf0b8eb493ae3a19709d121,912d59cdf1d3f551fae21f6f0062258f
Morocco,MAR,Africa,70.5,76.0,0.68,3.414,Bajos-Medios, 36.0 ,1.3,3.2,0.8,1.1,4d4a1722d8e85909a576da2c42878ff0,f5cd262901883dff68d06b215fb0f28e
Mozambique,MOZ,Africa,51.1,60.0,0.45,593,Bajos, 29.5 ,0.3,1.5,1.6,0.5,a6d3bea3fa66775952e080b90bb0c4f1,f5cd262901883dff68d06b215fb0f28e
Myanmar,MMR,Asia,64.9,67.0,0.58,1.573,Bajos, 53.7 ,0.5,3.3,1.9,1.0,217fa54cc9351504fcde32147bff005d,154a67340e8c14dd5253dc4ff6120197
Namibia,NAM,Africa,61.8,63.0,0.65,5.942,Medios-Altos, 2.4 ,1.7,6.9,6.3,1.6,69f4287626aee77f93e2c891b518838b,f5cd262901883dff68d06b215fb0f28e
Nepal,NPL,Asia,66.5,70.0,0.60,818,Bajos, 28.1 ,0.5,2.1,0.6,0.8,7fef6b003c726890ea5ca3708fe8ff56,154a67340e8c14dd5253dc4ff6120197
Netherlands,NLD,Europe,81.6,82.0,0.94,55.369,Altos, 17.1 ,6.8,9.3,0.8,3.6,a67d4cbdd1b59e0ffccc6bafc83eb033,912d59cdf1d3f551fae21f6f0062258f
New Zealand,NZL,Oceania,79.1,82.0,0.93,39.215,Altos, 4.7 ,0.0,17.4,8.8,3.3,c51ed580ea5e20c910d951f692512b4d,2d8836190888267b97ce332cad2aa247
Nicaragua,NIC,North America,66.3,74.0,0.66,1.857,Bajos-Medios, 6.5 ,0.7,3.1,2.2,0.9,3bfe17f6c2d1b8941df303de7aec2eb0,5ffec2d87ab548202f8b549af380913a
Niger,NER,Africa,49.5,62.0,0.39,552,Bajos, 22.4 ,0.1,3.1,1.3,1.0,bf2ec44b27fc25c6fd8a38792b9ef2a8,f5cd262901883dff68d06b215fb0f28e
Nigeria,NGA,Africa,48.9,54.0,0.53,2.384,Bajos-Medios, 195.9 ,0.4,2.1,0.7,0.7,5d839147c83e283c1d1bb705dc50586f,f5cd262901883dff68d06b215fb0f28e
Norway,NOR,Europe,82.0,83.0,0.96,91.608,Altos, 5.3 ,5.3,16.0,6.9,3.6,d5b9290a0b67727d4ba1ca6059dc31a6,912d59cdf1d3f551fae21f6f0062258f
Oman,OMN,Asia,70.1,78.0,0.81,15.797,Altos, 4.8 ,10.0,12.8,1.4,4.0,1c77b9733832da9d1ffac66620f3c006,154a67340e8c14dd5253dc4ff6120197
Pakistan,PAK,Asia,57.7,67.0,0.55,1.197,Bajos-Medios, 212.2 ,0.7,1.5,0.3,0.5,b9698b8546220246fe600a949db326bf,154a67340e8c14dd5253dc4ff6120197
Panama,PAN,North America,68.0,78.0,0.81,11.755,Medios-Altos, 4.2 ,2.2,5.1,2.5,1.8,6bec347f256837d3539ad619bd489de7,5ffec2d87ab548202f8b549af380913a
Papua New Guinea,PNG,Oceania,51.3,64.0,0.55,2.398,Bajos-Medios, 8.6 ,0.4,4.0,3.4,1.1,f670d3806d530c3e5cb1f31dca457751,2d8836190888267b97ce332cad2aa247
Paraguay,PRY,South America,66.9,74.0,0.73,5.380,Bajos-Medios, 7.0 ,1.0,8.6,10.1,1.9,73101738da81e5cbb87b64cd400a4405,aab422acb3d2334a6deca0e1495745c2
Peru,PER,South America,71.1,77.0,0.77,6.440,Medios-Altos, 32.0 ,1.3,4.5,3.6,1.5,84c8fa2341f7d052a1ee3a36ff043798,aab422acb3d2334a6deca0e1495745c2
Philippines,PHL,Asia,64.5,71.0,0.71,3.188,Bajos-Medios, 106.7 ,1.1,2.5,0.5,0.9,77dab2f81a6c8c9136efba7ab2c4c0f2,154a67340e8c14dd5253dc4ff6120197
Poland,POL,Europe,80.2,78.0,0.88,16.666,Altos, 37.9 ,5.9,9.5,1.9,3.0,94880bda83bda77c5692876700711f15,912d59cdf1d3f551fae21f6f0062258f
Portugal,PRT,Europe,78.6,81.0,0.86,24.180,Altos, 10.3 ,4.3,7.7,1.3,2.9,ea71b362e3ea9969db085abfccdeb10d,912d59cdf1d3f551fae21f6f0062258f
Qatar,QAT,Asia,66.7,80.0,0.85,63.990,Altos, 2.8 ,24.6,26.2,0.9,9.0,7cc7ef17c45527cf90fcf27516794d21,154a67340e8c14dd5253dc4ff6120197
Republic of Moldova,MDA,Europe,73.7,72.0,0.75,2.356,Bajos-Medios, 4.1 ,1.7,3.9,1.2,1.2,09f066924bc24722c67666def3bce58f,912d59cdf1d3f551fae21f6f0062258f
Republic of North Macedonia,MKD,Europe,72.5,76.0,0.77,5.452,Medios-Altos, 2.1 ,3.1,5.1,1.5,2.0,0293809fcf7ea684b4d21fffdaedbb52,912d59cdf1d3f551fae21f6f0062258f
Réunion,REU,Africa,,,,,, 0.9 ,0.0,6.7,0.2,2.9,8bf4189cd5775e55e86d05a650d97ceb,f5cd262901883dff68d06b215fb0f28e
Romania,ROU,Europe,75.0,75.0,0.82,11.535,Medios-Altos, 19.5 ,3.0,7.3,3.2,2.3,0c7d5ae44b2a0be9ebd7d6b9f7d60f20,912d59cdf1d3f551fae21f6f0062258f
Russian Federation,RUS,Europe,73.8,73.0,0.82,11.940,Medios-Altos, 145.7 ,7.6,11.7,6.7,3.4,07d62aa19a9a95c07515769b604bad36,912d59cdf1d3f551fae21f6f0062258f
Rwanda,RWA,Africa,57.6,69.0,0.54,845,Bajos, 12.3 ,0.1,1.4,0.4,0.5,9d7ed5d77d647e89c3cc11757d651dc2,f5cd262901883dff68d06b215fb0f28e
Saint Lucia,LCA,North America,,76.0,0.76,9.237,Medios-Altos, 0.2 ,2.0,3.2,0.3,1.4,d1ef233007d706d71aa6d46642d5f804,5ffec2d87ab548202f8b549af380913a
Samoa,WSM,Oceania,,73.0,0.71,3.754,Bajos-Medios, 0.2 ,0.0,4.1,1.7,1.7,0861134397888c470803c77fb6cd2943,2d8836190888267b97ce332cad2aa247
Sao Tome and Principe,STP,Africa,58.8,70.0,0.62,1.297,Bajos-Medios, 0.2 ,0.0,2.2,0.8,0.8,aca4f717a9933ddf7ab0ffc877d0ed48,f5cd262901883dff68d06b215fb0f28e
Saudi Arabia,SAU,Asia,66.3,75.0,0.85,20.829,Altos, 33.7 ,9.5,10.8,0.4,3.1,b835b521c29f399c78124c4b59341691,154a67340e8c14dd5253dc4ff6120197
Senegal,SEN,Africa,58.4,68.0,0.52,1.547,Bajos-Medios, 15.9 ,0.5,2.6,1.1,0.9,9986531359550785caffb2032622437f,f5cd262901883dff68d06b215fb0f28e
Serbia,SRB,Europe,75.6,76.0,0.80,5.472,Medios-Altos, 8.8 ,3.4,6.4,1.7,1.9,2ff6e535bd2f100979a171ad430e642b,912d59cdf1d3f551fae21f6f0062258f
Sierra Leone,SLE,Africa,51.7,54.0,0.45,473,Bajos, 7.7 ,0.2,2.1,1.0,0.7,97527dec0ae1a703599581d4f25dfbce,f5cd262901883dff68d06b215fb0f28e
Singapore,SGP,Asia,69.9,83.0,0.94,57.838,Altos, 5.8 ,7.8,9.2,0.1,3.7,458e4cbc78201c1aec5fc53a31c59378,154a67340e8c14dd5253dc4ff6120197
Slovakia,SVK,Europe,79.6,77.0,0.86,20.539,Altos, 5.5 ,5.2,9.2,2.8,3.0,88a392b5a8d8f73986d83a2deefb0472,912d59cdf1d3f551fae21f6f0062258f
Slovenia,SVN,Europe,81.6,81.0,0.91,26.710,Altos, 2.1 ,5.7,9.6,2.2,3.4,00247297c394dd443dc97067830c35f4,912d59cdf1d3f551fae21f6f0062258f
Solomon Islands,SLB,Oceania,,73.0,0.56,1.774,Bajos, 0.7 ,0.2,8.4,3.6,1.1,a573f4ed911c3b437599818762263a0c,2d8836190888267b97ce332cad2aa247
Somalia,SOM,Africa,45.6,57.0,,-,Bajos, 15.0 ,0.1,1.9,0.8,0.6,921855f753932de762b780405a50bdf7,f5cd262901883dff68d06b215fb0f28e
South Africa,ZAF,Africa,63.7,,0.71,7.440,Medios-Altos, 57.8 ,5.7,7.2,1.0,2.4,c89bc418c38da77213c6c6e03cac2510,f5cd262901883dff68d06b215fb0f28e
South Sudan,SSD,Africa,38.9,58.0,0.43,-,Bajos-Medios, 11.0 ,0.1,3.2,1.7,1.0,0a6355f86240762961997e70c5e7087d,f5cd262901883dff68d06b215fb0f28e
Spain,ESP,Europe,79.5,83.0,0.91,32.981,Altos, 46.7 ,4.3,8.1,1.5,2.8,907eba32d950bfab68227fd7ea22999b,912d59cdf1d3f551fae21f6f0062258f
Sri Lanka,LKA,Asia,68.1,77.0,0.78,4.028,Bajos-Medios, 21.2 ,1.0,2.5,0.5,1.0,ef547e2d9750443f6d203233dfa38e39,154a67340e8c14dd5253dc4ff6120197
Sudan,SDN,Africa,49.5,65.0,0.51,1.590,Bajos-Medios, 41.8 ,0.4,2.9,1.4,0.9,74458a3d3e5f3074226b1f9fa23c9163,f5cd262901883dff68d06b215fb0f28e
Suriname,SUR,South America,67.0,72.0,0.73,8.100,Medios-Altos, 0.6 ,3.0,6.6,80.4,1.9,64446ac025106d201779cb4bf5ab6b2e,aab422acb3d2334a6deca0e1495745c2
Sweden,SWE,Europe,85.6,83.0,0.94,59.068,Altos, 10.0 ,4.6,13.3,9.0,4.0,c8f4261f9f46e6465709e17ebea7a92b,912d59cdf1d3f551fae21f6f0062258f
Switzerland,CHE,Europe,80.1,84.0,0.96,79.173,Altos, 8.5 ,4.6,6.5,1.0,2.7,3ad08396dc5afa78f34f548eea3c1d64,912d59cdf1d3f551fae21f6f0062258f
Syrian Arab Republic,SYR,Asia,58.0,72.0,0.56,-,Bajos-Medios, 16.9 ,1.4,2.3,0.5,0.8,783c6baf8592ab8c2e7d03911ba1483f,154a67340e8c14dd5253dc4ff6120197
Tajikistan,TJK,Asia,69.8,71.0,0.66,1.073,Bajos, 9.1 ,0.6,2.0,0.5,0.7,b5a9722262bbb7a7449ebc0f4394c901,154a67340e8c14dd5253dc4ff6120197
Thailand,THA,Asia,74.2,77.0,0.77,6.366,Medios-Altos, 69.4 ,2.7,4.9,1.3,1.5,103357e3e40a9c0e4e9d36110f7bbc7a,154a67340e8c14dd5253dc4ff6120197
Timor-Leste,TLS,,,69.0,0.60,840,Bajos-Medios, 1.3 ,0.2,1.0,1.7,0.4,0a25bbf25b60f1908597d7d60e26696e,
Togo,TGO,Africa,53.2,61.0,0.51,677,Bajos, 7.9 ,0.3,1.8,0.6,0.7,1e746c5c85c4c0de3a0858b0dd047476,f5cd262901883dff68d06b215fb0f28e
Tonga,TON,Oceania,,71.0,0.72,4.378,Bajos-Medios, 0.1 ,0.0,3.9,1.1,1.8,dd5cb49bc56af9d53f9f9e1e5b425ab0,2d8836190888267b97ce332cad2aa247
Trinidad and Tobago,TTO,North America,63.5,73.0,0.80,15.161,Altos, 1.4 ,14.1,15.3,1.5,4.7,63965a52775c39cd64c3ef0248d585b1,5ffec2d87ab548202f8b549af380913a
Tunisia,TUN,Africa,71.4,77.0,0.74,4.408,Medios-Altos, 11.6 ,1.9,3.5,0.7,1.3,d6dacba23ab4a1d5b72f223bfb010a05,f5cd262901883dff68d06b215fb0f28e
Turkey,TUR,Asia,70.4,77.0,0.82,15.181,Medios-Altos, 82.3 ,3.8,6.1,1.3,2.1,221cdfb73049678e244380b45872cbb2,154a67340e8c14dd5253dc4ff6120197
Turkmenistan,TKM,Asia,61.1,68.0,0.71,7.648,Bajos-Medios, 5.9 ,8.1,10.0,2.3,3.1,f5d993d8e89c037d614ec8dc2559e4b7,154a67340e8c14dd5253dc4ff6120197
Uganda,UGA,Africa,53.5,63.0,0.54,934,Bajos, 42.7 ,0.2,2.1,0.5,0.7,53b3c88ea00c4f0e137b4e6fe7bd23f1,f5cd262901883dff68d06b215fb0f28e
Ukraine,UKR,Europe,75.5,72.0,0.77,2.961,Bajos-Medios, 44.2 ,3.0,6.2,2.7,1.5,f01fc92b23faa973f3492a23d5a705c5,912d59cdf1d3f551fae21f6f0062258f
United Arab Emirates,ARE,Asia,70.2,78.0,0.89,41.325,Altos, 9.6 ,12.4,14.7,0.5,5.1,8f6f28f0d2061af28bcf49d1725b2cbd,154a67340e8c14dd5253dc4ff6120197
United Kingdom,GBR,Europe,80.0,81.0,0.93,42.894,Altos, 67.1 ,4.4,6.9,1.0,2.6,89f9c9f489be2a83cf57e53b9197d288,912d59cdf1d3f551fae21f6f0062258f
United States of America,USA,North America,76.0,79.0,0.93,54.724,Altos, 327.1 ,11.0,15.9,3.4,5.1,1f122dd19db580fd03635dd699fb49de,5ffec2d87ab548202f8b549af380913a
Uruguay,URY,South America,74.5,78.0,0.82,14.618,Medios-Altos, 3.4 ,1.2,10.6,9.3,0.8,75497a22409db78dcc52c291e078bc10,aab422acb3d2334a6deca0e1495745c2
Uzbekistan,UZB,Asia,69.8,72.0,0.72,2.409,Bajos-Medios, 32.5 ,2.5,3.8,0.7,1.3,a0a3e881895e46eb96218f0988d405b9,154a67340e8c14dd5253dc4ff6120197
Vanuatu,VUT,Oceania,60.5,70.0,0.60,2.865,Bajos-Medios, 0.3 ,0.0,0.0,,,fe07e488fe56260f45240c1c8a8882a8,2d8836190888267b97ce332cad2aa247
Venezuela,VEN,South America,59.3,72.0,0.73,-,Medios-Altos, 28.9 ,2.7,4.7,2.8,1.5,e95294b730f61c8175550ec244bfcb50,aab422acb3d2334a6deca0e1495745c2
Viet Nam,VNM,Asia,72.8,75.0,0.70,1.968,Bajos-Medios, 95.5 ,2.1,4.3,0.9,1.4,91280c72e717e52c82196d404556fb33,154a67340e8c14dd5253dc4ff6120197
Yemen,YEM,Asia,52.9,66.0,0.47,633,Bajos-Medios, 28.5 ,0.3,0.8,0.4,0.3,724bf4ca11a567636547a92a37e397b7,154a67340e8c14dd5253dc4ff6120197
Zambia,ZMB,Africa,53.4,,0.58,1.678,Bajos-Medios, 17.4 ,0.4,2.5,1.8,0.8,b0aa0804e676a38255af4fd70236af7c,f5cd262901883dff68d06b215fb0f28e
Zimbabwe,ZWE,Africa,58.7,,0.57,1.306,Bajos, 14.4 ,0.7,2.3,0.6,0.8,9d5116a2451bc98c2b46b93acbc1b4f0,f5cd262901883dff68d06b215fb0f28e
