pais,codigo,continente,IDS,ELE,IDH,PIB_PerCap,poblacion,huella carbono,huella ecologica,biocapacidad,tierra
Afghanistan,AFG,Asia,53.9,64.0,0.51,565, 37.2 ,0.2,1.2,0.3,0.4
Albania,ALB,Europe,71.0,78.0,0.79,5.046, 2.9 ,1.5,3.3,1.0,1.2
Algeria,DZA,Africa,70.9,77.0,0.75,4.760, 42.2 ,2.5,4.0,0.6,1.5
Angola,AGO,Africa,50.3,61.0,0.58,3.234, 30.8 ,0.4,1.5,1.8,0.5
Antigua and Barbuda,ATG,North America,,77.0,0.77,15.135, 0.1 ,0.0,6.6,0.9,2.9
Argentina,ARG,South America,72.8,77.0,0.84,10.076, 44.4 ,2.6,8.4,6.2,2.1
Armenia,ARM,Asia,71.8,75.0,0.77,4.407, 3.0 ,1.6,3.2,0.6,1.2
Australia,AUS,Oceania,75.6,83.0,0.94,57.032, 24.9 ,10.1,17.9,11.5,4.5
Austria,AUT,Europe,82.1,82.0,0.92,49.711, 8.9 ,6.4,10.7,2.7,3.8
Azerbaijan,AZE,Asia,72.4,73.0,0.75,5.795, 9.9 ,2.2,3.9,0.8,1.3
Bahamas,BHS,North America,,74.0,0.81,28.846, 0.4 ,4.8,6.2,9.2,2.7
Bahrain,BHR,Asia,66.1,77.0,0.85,21.478, 1.6 ,14.1,15.5,0.5,5.2
Bangladesh,BGD,Asia,63.5,72.0,0.63,1.202, 161.4 ,0.5,1.5,0.4,0.6
Barbados,BRB,North America,68.4,79.0,0.81,16.137, 0.3 ,4.3,5.9,0.2,2.5
Belarus,BLR,Europe,78.8,74.0,0.82,6.608, 9.5 ,4.4,9.5,2.9,2.8
Belgium,BEL,Europe,82.2,82.0,0.93,46.768, 11.5 ,7.5,10.5,0.8,4.3
Belize,BLZ,North America,64.4,74.0,0.71,4.217, 0.4 ,2.0,14.4,3.5,5.0
Benin,BEN,Africa,49.9,61.0,0.54,1.211, 11.5 ,0.6,2.8,0.9,1.0
Bhutan,BTN,Asia,70.0,71.0,0.65,3.129, 0.8 ,2.0,9.4,5.0,3.3
Bolivia,BOL,South America,67.6,71.0,0.71,2.560, 11.4 ,1.4,6.3,14.2,2.0
Bosnia and Herzegovina,BIH,Europe,73.7,77.0,0.78,6.097, 3.3 ,4.4,7.8,2.0,2.5
Botswana,BWA,Africa,61.9,69.0,0.73,8.033, 2.3 ,2.8,4.3,3.3,1.5
Brazil,BRA,South America,71.3,76.0,0.76,11.076, 209.5 ,1.4,6.2,8.6,1.6
Brunei Darussalam,BRN,Asia,68.3,76.0,0.84,31.437, 0.4 ,9.7,11.6,2.7,3.4
Bulgaria,BGR,Europe,73.8,75.0,0.81,8.642, 7.1 ,4.2,8.2,3.3,2.3
Burkina Faso,BFA,Africa,53.5,61.0,0.44,800, 19.8 ,0.3,2.4,1.0,0.8
Burundi,BDI,Africa,51.8,61.0,0.43,211, 11.2 ,0.1,1.6,0.5,0.5
Cabo Verde,CPV,Africa,68.1,73.0,0.66,3.740, 0.5 ,0.0,3.4,0.5,1.2
Cambodia,KHM,Asia,64.5,70.0,0.59,1.203, 16.2 ,0.0,2.8,1.2,0.9
Cameroon,CMR,Africa,55.3,59.0,0.56,1.502, 25.2 ,0.3,2.3,1.6,0.8
Canada,CAN,North America,79.2,82.0,0.93,51.518, 37.1 ,10.7,19.8,14.7,5.1
Central African Republic,CAF,Africa,38.3,53.0,0.4,379, 4.7 ,0.1,2.4,7.5,0.8
Chad,TCD,Africa,40.9,54.0,0.4,812, 15.5 ,0.1,3.3,1.7,1.0
Chile,CHL,South America,77.1,80.0,0.85,15.110, 18.7 ,3.6,9.0,3.3,2.7
China,CHN,Asia,72.1,77.0,0.76,7.469, 1.459.4 ,5.3,7.2,0.9,2.4
Colombia,COL,South America,70.6,77.0,0.76,7.692, 49.7 ,1.2,3.4,3.4,1.2
Comoros,COM,Africa,,64.0,0.55,1.403, 0.8 ,0.0,2.1,0.4,0.8
Congo,COG,Africa,52.9,64.0,0.57,2.304, 5.2 ,0.4,2.0,8.8,0.6
Costa Rica,CRI,North America,73.6,80.0,0.81,9.937, 5.0 ,1.6,4.2,1.5,1.5
Côte d'Ivoire,CIV,Africa,57.6,57.0,0.53,1.668, 25.1 ,0.4,3.0,1.8,0.9
Croatia,HRV,Europe,80.4,78.0,0.85,15.708, 4.2 ,3.7,7.0,2.8,2.5
Cuba,CUB,North America,73.7,79.0,0.78,6.817, 11.3 ,1.8,3.0,0.8,1.1
Cyprus,CYP,Asia,74.9,81.0,0.89,23.395, 1.2 ,0.0,5.9,0.2,2.4
Czech Republic,CZE,Europe,81.4,79.0,0.9,23.721, 10.7 ,6.8,11.7,2.3,3.6
Denmark,DNK,Europe,84.9,81.0,0.94,64.672, 5.8 ,5.4,11.0,3.6,4.2
Djibouti,DJI,Africa,53.8,67.0,0.52,-, 1.0 ,0.7,3.3,0.7,1.5
Dominica,DMA,North America,,,0.74,6.697, 0.1 ,0.0,3.8,1.1,1.6
Dominican Republic,DOM,North America,70.8,74.0,0.75,7.698, 10.6 ,1.8,3.1,0.7,1.1
Ecuador,ECU,South America,72.5,77.0,0.76,5.181, 17.1 ,0.0,4.0,1.9,1.1
Egypt,EGY,Africa,68.6,72.0,0.7,2.906, 98.4 ,0.0,3.1,0.4,1.2
El Salvador,SLV,North America,67.9,73.0,0.67,3.507, 6.4 ,1.1,3.2,0.6,1.3
Equatorial Guinea,GNQ,Africa,,58.0,0.58,10.135, 1.3 ,3.1,4.5,3.4,1.3
Eritrea,ERI,Africa,,66.0,0.46,-, 3.5 ,0.2,1.5,2.3,0.5
Estonia,EST,Europe,81.6,78.0,0.89,19.919, 1.3 ,7.3,18.6,9.3,5.1
Eswatini,SWZ,Africa,53.3,59.0,0.61,4.762, 1.1 ,0.9,4.8,1.0,1.6
Ethiopia,ETH,Africa,54.5,66.0,0.48,571, 109.2 ,0.1,2.0,0.6,0.6
Fiji,FJI,Oceania,71.2,67.0,0.74,4.795, 0.9 ,1.1,4.6,2.3,1.7
Finland,FIN,Europe,85.9,82.0,0.94,48.890, 5.5 ,6.9,18.3,12.1,4.1
France,FRA,Europe,81.7,83.0,0.9,45.057, 65.0 ,4.2,8.1,2.4,2.8
French Guiana,GUF,South America,,,,, 0.3 ,2.0,3.2,92.1,1.2
French Polynesia,PYF,Oceania,,77.0,,-, 0.3 ,0.0,6.1,1.3,2.5
Gabon,GAB,Africa,62.8,66.0,0.7,9.051, 2.1 ,1.0,3.6,18.9,1.2
Gambia,GMB,Africa,59.3,62.0,0.49,791, 2.3 ,0.4,1.5,0.5,0.7
Georgia,GEO,Asia,72.2,74.0,0.81,4.407, 4.0 ,2.3,3.9,1.3,1.5
Germany,DEU,Europe,82.5,81.0,0.95,47.158, 83.1 ,6.0,9.0,1.5,3.0
Ghana,GHA,Africa,62.5,64.0,0.61,1.808, 29.8 ,0.6,3.9,1.3,1.3
Greece,GRC,Europe,75.4,82.0,0.88,24.044, 10.5 ,4.7,7.1,1.2,2.6
Grenada,GRD,North America,,72.0,0.77,9.092, 0.1 ,0.0,4.2,2.1,1.6
Guadeloupe,GLP,North America,,,,, 0.4 ,0.0,5.7,0.5,2.3
Guatemala,GTM,North America,59.9,74.0,0.66,3.164, 17.2 ,0.9,3.3,1.0,1.1
Guinea,GIN,Africa,51.0,61.0,0.47,897, 12.4 ,0.3,3.4,2.1,1.2
Guinea-Bissau,GNB,Africa,,58.0,0.47,623, 1.9 ,0.2,3.0,2.7,0.9
Guyana,GUY,South America,57.9,70.0,0.68,5.825, 0.8 ,2.8,6.4,72.7,2.2
Haiti,HTI,North America,51.4,64.0,0.51,1.282, 11.1 ,0.2,1.0,0.2,0.4
Honduras,HND,North America,62.8,75.0,0.63,2.219, 9.6 ,0.0,2.9,1.7,1.0
Hungary,HUN,Europe,78.8,76.0,0.85,16.894, 9.7 ,4.1,7.7,2.6,2.4
India,IND,Asia,60.1,69.0,0.64,2.085, 1.352.6 ,1.3,2.4,0.4,0.8
Indonesia,IDN,Asia,66.3,72.0,0.71,4.296, 267.7 ,1.4,3.6,1.2,1.1
Iraq,IRQ,Asia,63.8,70.0,0.67,5.464, 38.4 ,2.5,3.1,0.2,1.1
Ireland,IRL,Europe,81.0,82.0,0.95,77.407, 4.8 ,5.8,10.0,3.1,3.3
Israel,ISR,Asia,75.0,83.0,0.92,36.867, 8.4 ,5.8,7.4,0.2,2.9
Italy,ITA,Europe,78.8,83.0,0.89,35.277, 60.7 ,4.5,6.7,0.8,2.7
Jamaica,JAM,North America,69.0,74.0,0.73,4.855, 2.9 ,1.8,2.9,0.4,1.0
Japan,JPN,Asia,79.8,84.0,0.92,48.506, 127.2 ,6.6,8.2,0.6,2.9
Jordan,JOR,Asia,70.1,74.0,0.73,3.307, 10.0 ,1.8,2.8,0.2,1.1
Kazakhstan,KAZ,Asia,71.6,73.0,0.82,11.136, 18.3 ,7.8,10.8,3.6,3.1
Kenya,KEN,Africa,60.6,66.0,0.6,1.201, 51.4 ,0.4,1.8,0.5,0.6
Kuwait,KWT,Asia,62.5,75.0,0.81,33.113, 4.1 ,14.2,15.8,0.5,5.0
Kyrgyzstan,KGZ,Asia,74.0,71.0,0.7,1.094, 6.3 ,1.4,2.9,1.2,1.0
Lao People's Democratic Republic,LAO,Asia,63.0,68.0,0.61,1.786, 7.1 ,1.2,4.1,1.7,1.2
Latvia,LVA,Europe,79.2,75.0,0.86,16.252, 1.9 ,3.3,14.0,8.2,4.0
Lebanon,LBN,Asia,66.8,79.0,0.75,6.205, 6.9 ,3.2,4.5,0.3,1.9
Lesotho,LSO,Africa,54.6,54.0,0.52,1.375, 2.1 ,1.0,2.8,0.8,1.0
Liberia,LBR,Africa,48.6,64.0,0.48,541, 4.8 ,0.1,2.3,3.0,0.8
Lithuania,LTU,Europe,76.7,76.0,0.88,17.744, 2.8 ,4.8,11.4,4.7,3.8
Luxembourg,LUX,Europe,74.2,82.0,0.91,111.381, 0.6 ,15.0,19.2,1.2,8.2
Madagascar,MDG,Africa,49.0,67.0,0.53,490, 26.3 ,0.1,1.8,2.2,0.6
Malawi,MWI,Africa,51.4,64.0,0.48,515, 18.1 ,0.1,1.7,0.7,0.6
Malaysia,MYS,Asia,70.9,76.0,0.81,12.116, 31.5 ,5.2,8.5,2.2,2.7
Mali,MLI,Africa,52.2,59.0,0.43,779, 19.1 ,0.3,3.2,1.9,1.0
Malta,MLT,Europe,75.7,82.0,0.89,31.604, 0.4 ,0.0,6.8,0.5,3.4
Martinique,MTQ,North America,,,,, 0.4 ,0.0,5.5,0.4,2.2
Mauritania,MRT,Africa,55.5,65.0,0.54,1.704, 4.4 ,0.7,5.0,3.9,1.6
Mauritius,MUS,Africa,66.7,74.0,0.8,10.561, 1.3 ,0.0,5.0,0.7,2.0
Mexico,MEX,North America,69.1,75.0,0.78,10.381, 126.2 ,2.5,4.4,1.2,1.5
Mongolia,MNG,Asia,63.8,70.0,0.74,4.211, 3.2 ,4.6,15.3,14.1,4.6
Montenegro,MNE,Europe,68.2,77.0,0.83,8.180, 0.6 ,3.9,6.7,2.5,2.7
Morocco,MAR,Africa,70.5,76.0,0.68,3.414, 36.0 ,1.3,3.2,0.8,1.1
Mozambique,MOZ,Africa,51.1,60.0,0.45,593, 29.5 ,0.3,1.5,1.6,0.5
Myanmar,MMR,Asia,64.9,67.0,0.58,1.573, 53.7 ,0.5,3.3,1.9,1.0
Namibia,NAM,Africa,61.8,63.0,0.65,5.942, 2.4 ,1.7,6.9,6.3,1.6
Nepal,NPL,Asia,66.5,70.0,0.6,818, 28.1 ,0.5,2.1,0.6,0.8
Netherlands,NLD,Europe,81.6,82.0,0.94,55.369, 17.1 ,6.8,9.3,0.8,3.6
New Zealand,NZL,Oceania,79.1,82.0,0.93,39.215, 4.7 ,0.0,17.4,8.8,3.3
Nicaragua,NIC,North America,66.3,74.0,0.66,1.857, 6.5 ,0.7,3.1,2.2,0.9
Niger,NER,Africa,49.5,62.0,0.39,552, 22.4 ,0.1,3.1,1.3,1.0
Nigeria,NGA,Africa,48.9,54.0,0.53,2.384, 195.9 ,0.4,2.1,0.7,0.7
Norway,NOR,Europe,82.0,83.0,0.96,91.608, 5.3 ,5.3,16.0,6.9,3.6
Oman,OMN,Asia,70.1,78.0,0.81,15.797, 4.8 ,10.0,12.8,1.4,4.0
Pakistan,PAK,Asia,57.7,67.0,0.55,1.197, 212.2 ,0.7,1.5,0.3,0.5
Panama,PAN,North America,68.0,78.0,0.81,11.755, 4.2 ,2.2,5.1,2.5,1.8
Papua New Guinea,PNG,Oceania,51.3,64.0,0.55,2.398, 8.6 ,0.4,4.0,3.4,1.1
Paraguay,PRY,South America,66.9,74.0,0.73,5.380, 7.0 ,1.0,8.6,10.1,1.9
Peru,PER,South America,71.1,77.0,0.77,6.440, 32.0 ,1.3,4.5,3.6,1.5
Philippines,PHL,Asia,64.5,71.0,0.71,3.188, 106.7 ,1.1,2.5,0.5,0.9
Poland,POL,Europe,80.2,78.0,0.88,16.666, 37.9 ,5.9,9.5,1.9,3.0
Portugal,PRT,Europe,78.6,81.0,0.86,24.180, 10.3 ,4.3,7.7,1.3,2.9
Qatar,QAT,Asia,66.7,80.0,0.85,63.990, 2.8 ,24.6,26.2,0.9,9.0
Republic of Moldova,MDA,Europe,73.7,72.0,0.75,2.356, 4.1 ,1.7,3.9,1.2,1.2
Republic of North Macedonia,MKD,Europe,72.5,76.0,0.77,5.452, 2.1 ,3.1,5.1,1.5,2.0
Réunion,REU,Africa,,,,, 0.9 ,0.0,6.7,0.2,2.9
Romania,ROU,Europe,75.0,75.0,0.82,11.535, 19.5 ,3.0,7.3,3.2,2.3
Russian Federation,RUS,Europe,73.8,73.0,0.82,11.940, 145.7 ,7.6,11.7,6.7,3.4
Rwanda,RWA,Africa,57.6,69.0,0.54,845, 12.3 ,0.1,1.4,0.4,0.5
Saint Lucia,LCA,North America,,76.0,0.76,9.237, 0.2 ,2.0,3.2,0.3,1.4
Samoa,WSM,Oceania,,73.0,0.71,3.754, 0.2 ,0.0,4.1,1.7,1.7
Sao Tome and Principe,STP,Africa,58.8,70.0,0.62,1.297, 0.2 ,0.0,2.2,0.8,0.8
Saudi Arabia,SAU,Asia,66.3,75.0,0.85,20.829, 33.7 ,9.5,10.8,0.4,3.1
Senegal,SEN,Africa,58.4,68.0,0.52,1.547, 15.9 ,0.5,2.6,1.1,0.9
Serbia,SRB,Europe,75.6,76.0,0.8,5.472, 8.8 ,3.4,6.4,1.7,1.9
Sierra Leone,SLE,Africa,51.7,54.0,0.45,473, 7.7 ,0.2,2.1,1.0,0.7
Singapore,SGP,Asia,69.9,83.0,0.94,57.838, 5.8 ,7.8,9.2,0.1,3.7
Slovakia,SVK,Europe,79.6,77.0,0.86,20.539, 5.5 ,5.2,9.2,2.8,3.0
Slovenia,SVN,Europe,81.6,81.0,0.91,26.710, 2.1 ,5.7,9.6,2.2,3.4
Solomon Islands,SLB,Oceania,,73.0,0.56,1.774, 0.7 ,0.2,8.4,3.6,1.1
Somalia,SOM,Africa,45.6,57.0,,-, 15.0 ,0.1,1.9,0.8,0.6
South Africa,ZAF,Africa,63.7,,0.71,7.440, 57.8 ,5.7,7.2,1.0,2.4
South Sudan,SSD,Africa,38.9,58.0,0.43,-, 11.0 ,0.1,3.2,1.7,1.0
Spain,ESP,Europe,79.5,83.0,0.91,32.981, 46.7 ,4.3,8.1,1.5,2.8
Sri Lanka,LKA,Asia,68.1,77.0,0.78,4.028, 21.2 ,1.0,2.5,0.5,1.0
Sudan,SDN,Africa,49.5,65.0,0.51,1.590, 41.8 ,0.4,2.9,1.4,0.9
Suriname,SUR,South America,67.0,72.0,0.73,8.100, 0.6 ,3.0,6.6,80.4,1.9
Sweden,SWE,Europe,85.6,83.0,0.94,59.068, 10.0 ,4.6,13.3,9.0,4.0
Switzerland,CHE,Europe,80.1,84.0,0.96,79.173, 8.5 ,4.6,6.5,1.0,2.7
Syrian Arab Republic,SYR,Asia,58.0,72.0,0.56,-, 16.9 ,1.4,2.3,0.5,0.8
Tajikistan,TJK,Asia,69.8,71.0,0.66,1.073, 9.1 ,0.6,2.0,0.5,0.7
Thailand,THA,Asia,74.2,77.0,0.77,6.366, 69.4 ,2.7,4.9,1.3,1.5
Timor-Leste,TLS,,,69.0,0.6,840, 1.3 ,0.2,1.0,1.7,0.4
Togo,TGO,Africa,53.2,61.0,0.51,677, 7.9 ,0.3,1.8,0.6,0.7
Tonga,TON,Oceania,,71.0,0.72,4.378, 0.1 ,0.0,3.9,1.1,1.8
Trinidad and Tobago,TTO,North America,63.5,73.0,0.8,15.161, 1.4 ,14.1,15.3,1.5,4.7
Tunisia,TUN,Africa,71.4,77.0,0.74,4.408, 11.6 ,1.9,3.5,0.7,1.3
Turkey,TUR,Asia,70.4,77.0,0.82,15.181, 82.3 ,3.8,6.1,1.3,2.1
Turkmenistan,TKM,Asia,61.1,68.0,0.71,7.648, 5.9 ,8.1,10.0,2.3,3.1
Uganda,UGA,Africa,53.5,63.0,0.54,934, 42.7 ,0.2,2.1,0.5,0.7
Ukraine,UKR,Europe,75.5,72.0,0.77,2.961, 44.2 ,3.0,6.2,2.7,1.5
United Arab Emirates,ARE,Asia,70.2,78.0,0.89,41.325, 9.6 ,12.4,14.7,0.5,5.1
United Kingdom,GBR,Europe,80.0,81.0,0.93,42.894, 67.1 ,4.4,6.9,1.0,2.6
United States of America,USA,North America,76.0,79.0,0.93,54.724, 327.1 ,11.0,15.9,3.4,5.1
Uruguay,URY,South America,74.5,78.0,0.82,14.618, 3.4 ,1.2,10.6,9.3,0.8
Uzbekistan,UZB,Asia,69.8,72.0,0.72,2.409, 32.5 ,2.5,3.8,0.7,1.3
Vanuatu,VUT,Oceania,60.5,70.0,0.6,2.865, 0.3 ,0.0,0.0,,
Venezuela,VEN,South America,59.3,72.0,0.73,-, 28.9 ,2.7,4.7,2.8,1.5
Viet Nam,VNM,Asia,72.8,75.0,0.7,1.968, 95.5 ,2.1,4.3,0.9,1.4
Yemen,YEM,Asia,52.9,66.0,0.47,633, 28.5 ,0.3,0.8,0.4,0.3
Zambia,ZMB,Africa,53.4,,0.58,1.678, 17.4 ,0.4,2.5,1.8,0.8
Zimbabwe,ZWE,Africa,58.7,,0.57,1.306, 14.4 ,0.7,2.3,0.6,0.8
