id,pais,continente,IDS,ELE,IDH,PIB_PerCap,poblacion,huella carbono,huella ecologica,biocapacidad,tierra
AFG,Afghanistan,Asia,53.9,64.0,0.51,565, 37.2 ,0.2,1.2,0.3,0.4
ALB,Albania,Europe,71.0,78.0,0.79,5.046, 2.9 ,1.5,3.3,1.0,1.2
DZA,Algeria,Africa,70.9,77.0,0.75,4.760, 42.2 ,2.5,4.0,0.6,1.5
AGO,Angola,Africa,50.3,61.0,0.58,3.234, 30.8 ,0.4,1.5,1.8,0.5
ATG,Antigua and Barbuda,North America,,77.0,0.77,15.135, 0.1 ,0.0,6.6,0.9,2.9
ARG,Argentina,South America,72.8,77.0,0.84,10.076, 44.4 ,2.6,8.4,6.2,2.1
ARM,Armenia,Asia,71.8,75.0,0.77,4.407, 3.0 ,1.6,3.2,0.6,1.2
AUS,Australia,Oceania,75.6,83.0,0.94,57.032, 24.9 ,10.1,17.9,11.5,4.5
AUT,Austria,Europe,82.1,82.0,0.92,49.711, 8.9 ,6.4,10.7,2.7,3.8
AZE,Azerbaijan,Asia,72.4,73.0,0.75,5.795, 9.9 ,2.2,3.9,0.8,1.3
BHS,Bahamas,North America,,74.0,0.81,28.846, 0.4 ,4.8,6.2,9.2,2.7
BHR,Bahrain,Asia,66.1,77.0,0.85,21.478, 1.6 ,14.1,15.5,0.5,5.2
BGD,Bangladesh,Asia,63.5,72.0,0.63,1.202, 161.4 ,0.5,1.5,0.4,0.6
BRB,Barbados,North America,68.4,79.0,0.81,16.137, 0.3 ,4.3,5.9,0.2,2.5
BLR,Belarus,Europe,78.8,74.0,0.82,6.608, 9.5 ,4.4,9.5,2.9,2.8
BEL,Belgium,Europe,82.2,82.0,0.93,46.768, 11.5 ,7.5,10.5,0.8,4.3
BLZ,Belize,North America,64.4,74.0,0.71,4.217, 0.4 ,2.0,14.4,3.5,5.0
BEN,Benin,Africa,49.9,61.0,0.54,1.211, 11.5 ,0.6,2.8,0.9,1.0
BTN,Bhutan,Asia,70.0,71.0,0.65,3.129, 0.8 ,2.0,9.4,5.0,3.3
BOL,Bolivia,South America,67.6,71.0,0.71,2.560, 11.4 ,1.4,6.3,14.2,2.0
BIH,Bosnia and Herzegovina,Europe,73.7,77.0,0.78,6.097, 3.3 ,4.4,7.8,2.0,2.5
BWA,Botswana,Africa,61.9,69.0,0.73,8.033, 2.3 ,2.8,4.3,3.3,1.5
BRA,Brazil,South America,71.3,76.0,0.76,11.076, 209.5 ,1.4,6.2,8.6,1.6
BRN,Brunei Darussalam,Asia,68.3,76.0,0.84,31.437, 0.4 ,9.7,11.6,2.7,3.4
BGR,Bulgaria,Europe,73.8,75.0,0.81,8.642, 7.1 ,4.2,8.2,3.3,2.3
BFA,Burkina Faso,Africa,53.5,61.0,0.44,800, 19.8 ,0.3,2.4,1.0,0.8
BDI,Burundi,Africa,51.8,61.0,0.43,211, 11.2 ,0.1,1.6,0.5,0.5
CPV,Cabo Verde,Africa,68.1,73.0,0.66,3.740, 0.5 ,0.0,3.4,0.5,1.2
KHM,Cambodia,Asia,64.5,70.0,0.59,1.203, 16.2 ,0.0,2.8,1.2,0.9
CMR,Cameroon,Africa,55.3,59.0,0.56,1.502, 25.2 ,0.3,2.3,1.6,0.8
CAN,Canada,North America,79.2,82.0,0.93,51.518, 37.1 ,10.7,19.8,14.7,5.1
CAF,Central African Republic,Africa,38.3,53.0,0.4,379, 4.7 ,0.1,2.4,7.5,0.8
TCD,Chad,Africa,40.9,54.0,0.4,812, 15.5 ,0.1,3.3,1.7,1.0
CHL,Chile,South America,77.1,80.0,0.85,15.110, 18.7 ,3.6,9.0,3.3,2.7
CHN,China,Asia,72.1,77.0,0.76,7.469, 1.459.4 ,5.3,7.2,0.9,2.4
COL,Colombia,South America,70.6,77.0,0.76,7.692, 49.7 ,1.2,3.4,3.4,1.2
COM,Comoros,Africa,,64.0,0.55,1.403, 0.8 ,0.0,2.1,0.4,0.8
COG,Congo,Africa,52.9,64.0,0.57,2.304, 5.2 ,0.4,2.0,8.8,0.6
CRI,Costa Rica,North America,73.6,80.0,0.81,9.937, 5.0 ,1.6,4.2,1.5,1.5
CIV,Côte d'Ivoire,Africa,57.6,57.0,0.53,1.668, 25.1 ,0.4,3.0,1.8,0.9
HRV,Croatia,Europe,80.4,78.0,0.85,15.708, 4.2 ,3.7,7.0,2.8,2.5
CUB,Cuba,North America,73.7,79.0,0.78,6.817, 11.3 ,1.8,3.0,0.8,1.1
CYP,Cyprus,Asia,74.9,81.0,0.89,23.395, 1.2 ,0.0,5.9,0.2,2.4
CZE,Czech Republic,Europe,81.4,79.0,0.9,23.721, 10.7 ,6.8,11.7,2.3,3.6
DNK,Denmark,Europe,84.9,81.0,0.94,64.672, 5.8 ,5.4,11.0,3.6,4.2
DJI,Djibouti,Africa,53.8,67.0,0.52,-, 1.0 ,0.7,3.3,0.7,1.5
DMA,Dominica,North America,,,0.74,6.697, 0.1 ,0.0,3.8,1.1,1.6
DOM,Dominican Republic,North America,70.8,74.0,0.75,7.698, 10.6 ,1.8,3.1,0.7,1.1
ECU,Ecuador,South America,72.5,77.0,0.76,5.181, 17.1 ,0.0,4.0,1.9,1.1
EGY,Egypt,Africa,68.6,72.0,0.7,2.906, 98.4 ,0.0,3.1,0.4,1.2
SLV,El Salvador,North America,67.9,73.0,0.67,3.507, 6.4 ,1.1,3.2,0.6,1.3
GNQ,Equatorial Guinea,Africa,,58.0,0.58,10.135, 1.3 ,3.1,4.5,3.4,1.3
ERI,Eritrea,Africa,,66.0,0.46,-, 3.5 ,0.2,1.5,2.3,0.5
EST,Estonia,Europe,81.6,78.0,0.89,19.919, 1.3 ,7.3,18.6,9.3,5.1
SWZ,Eswatini,Africa,53.3,59.0,0.61,4.762, 1.1 ,0.9,4.8,1.0,1.6
ETH,Ethiopia,Africa,54.5,66.0,0.48,571, 109.2 ,0.1,2.0,0.6,0.6
FJI,Fiji,Oceania,71.2,67.0,0.74,4.795, 0.9 ,1.1,4.6,2.3,1.7
FIN,Finland,Europe,85.9,82.0,0.94,48.890, 5.5 ,6.9,18.3,12.1,4.1
FRA,France,Europe,81.7,83.0,0.9,45.057, 65.0 ,4.2,8.1,2.4,2.8
GUF,French Guiana,South America,,,,, 0.3 ,2.0,3.2,92.1,1.2
PYF,French Polynesia,Oceania,,77.0,,-, 0.3 ,0.0,6.1,1.3,2.5
GAB,Gabon,Africa,62.8,66.0,0.7,9.051, 2.1 ,1.0,3.6,18.9,1.2
GMB,Gambia,Africa,59.3,62.0,0.49,791, 2.3 ,0.4,1.5,0.5,0.7
GEO,Georgia,Asia,72.2,74.0,0.81,4.407, 4.0 ,2.3,3.9,1.3,1.5
DEU,Germany,Europe,82.5,81.0,0.95,47.158, 83.1 ,6.0,9.0,1.5,3.0
GHA,Ghana,Africa,62.5,64.0,0.61,1.808, 29.8 ,0.6,3.9,1.3,1.3
GRC,Greece,Europe,75.4,82.0,0.88,24.044, 10.5 ,4.7,7.1,1.2,2.6
GRD,Grenada,North America,,72.0,0.77,9.092, 0.1 ,0.0,4.2,2.1,1.6
GLP,Guadeloupe,North America,,,,, 0.4 ,0.0,5.7,0.5,2.3
GTM,Guatemala,North America,59.9,74.0,0.66,3.164, 17.2 ,0.9,3.3,1.0,1.1
GIN,Guinea,Africa,51.0,61.0,0.47,897, 12.4 ,0.3,3.4,2.1,1.2
GNB,Guinea-Bissau,Africa,,58.0,0.47,623, 1.9 ,0.2,3.0,2.7,0.9
GUY,Guyana,South America,57.9,70.0,0.68,5.825, 0.8 ,2.8,6.4,72.7,2.2
HTI,Haiti,North America,51.4,64.0,0.51,1.282, 11.1 ,0.2,1.0,0.2,0.4
HND,Honduras,North America,62.8,75.0,0.63,2.219, 9.6 ,0.0,2.9,1.7,1.0
HUN,Hungary,Europe,78.8,76.0,0.85,16.894, 9.7 ,4.1,7.7,2.6,2.4
IND,India,Asia,60.1,69.0,0.64,2.085, 1.352.6 ,1.3,2.4,0.4,0.8
IDN,Indonesia,Asia,66.3,72.0,0.71,4.296, 267.7 ,1.4,3.6,1.2,1.1
IRQ,Iraq,Asia,63.8,70.0,0.67,5.464, 38.4 ,2.5,3.1,0.2,1.1
IRL,Ireland,Europe,81.0,82.0,0.95,77.407, 4.8 ,5.8,10.0,3.1,3.3
ISR,Israel,Asia,75.0,83.0,0.92,36.867, 8.4 ,5.8,7.4,0.2,2.9
ITA,Italy,Europe,78.8,83.0,0.89,35.277, 60.7 ,4.5,6.7,0.8,2.7
JAM,Jamaica,North America,69.0,74.0,0.73,4.855, 2.9 ,1.8,2.9,0.4,1.0
JPN,Japan,Asia,79.8,84.0,0.92,48.506, 127.2 ,6.6,8.2,0.6,2.9
JOR,Jordan,Asia,70.1,74.0,0.73,3.307, 10.0 ,1.8,2.8,0.2,1.1
KAZ,Kazakhstan,Asia,71.6,73.0,0.82,11.136, 18.3 ,7.8,10.8,3.6,3.1
KEN,Kenya,Africa,60.6,66.0,0.6,1.201, 51.4 ,0.4,1.8,0.5,0.6
KWT,Kuwait,Asia,62.5,75.0,0.81,33.113, 4.1 ,14.2,15.8,0.5,5.0
KGZ,Kyrgyzstan,Asia,74.0,71.0,0.7,1.094, 6.3 ,1.4,2.9,1.2,1.0
LAO,Lao People's Democratic Republic,Asia,63.0,68.0,0.61,1.786, 7.1 ,1.2,4.1,1.7,1.2
LVA,Latvia,Europe,79.2,75.0,0.86,16.252, 1.9 ,3.3,14.0,8.2,4.0
LBN,Lebanon,Asia,66.8,79.0,0.75,6.205, 6.9 ,3.2,4.5,0.3,1.9
LSO,Lesotho,Africa,54.6,54.0,0.52,1.375, 2.1 ,1.0,2.8,0.8,1.0
LBR,Liberia,Africa,48.6,64.0,0.48,541, 4.8 ,0.1,2.3,3.0,0.8
LTU,Lithuania,Europe,76.7,76.0,0.88,17.744, 2.8 ,4.8,11.4,4.7,3.8
LUX,Luxembourg,Europe,74.2,82.0,0.91,111.381, 0.6 ,15.0,19.2,1.2,8.2
MDG,Madagascar,Africa,49.0,67.0,0.53,490, 26.3 ,0.1,1.8,2.2,0.6
MWI,Malawi,Africa,51.4,64.0,0.48,515, 18.1 ,0.1,1.7,0.7,0.6
MYS,Malaysia,Asia,70.9,76.0,0.81,12.116, 31.5 ,5.2,8.5,2.2,2.7
MLI,Mali,Africa,52.2,59.0,0.43,779, 19.1 ,0.3,3.2,1.9,1.0
MLT,Malta,Europe,75.7,82.0,0.89,31.604, 0.4 ,0.0,6.8,0.5,3.4
MTQ,Martinique,North America,,,,, 0.4 ,0.0,5.5,0.4,2.2
MRT,Mauritania,Africa,55.5,65.0,0.54,1.704, 4.4 ,0.7,5.0,3.9,1.6
MUS,Mauritius,Africa,66.7,74.0,0.8,10.561, 1.3 ,0.0,5.0,0.7,2.0
MEX,Mexico,North America,69.1,75.0,0.78,10.381, 126.2 ,2.5,4.4,1.2,1.5
MNG,Mongolia,Asia,63.8,70.0,0.74,4.211, 3.2 ,4.6,15.3,14.1,4.6
MNE,Montenegro,Europe,68.2,77.0,0.83,8.180, 0.6 ,3.9,6.7,2.5,2.7
MAR,Morocco,Africa,70.5,76.0,0.68,3.414, 36.0 ,1.3,3.2,0.8,1.1
MOZ,Mozambique,Africa,51.1,60.0,0.45,593, 29.5 ,0.3,1.5,1.6,0.5
MMR,Myanmar,Asia,64.9,67.0,0.58,1.573, 53.7 ,0.5,3.3,1.9,1.0
NAM,Namibia,Africa,61.8,63.0,0.65,5.942, 2.4 ,1.7,6.9,6.3,1.6
NPL,Nepal,Asia,66.5,70.0,0.6,818, 28.1 ,0.5,2.1,0.6,0.8
NLD,Netherlands,Europe,81.6,82.0,0.94,55.369, 17.1 ,6.8,9.3,0.8,3.6
NZL,New Zealand,Oceania,79.1,82.0,0.93,39.215, 4.7 ,0.0,17.4,8.8,3.3
NIC,Nicaragua,North America,66.3,74.0,0.66,1.857, 6.5 ,0.7,3.1,2.2,0.9
NER,Niger,Africa,49.5,62.0,0.39,552, 22.4 ,0.1,3.1,1.3,1.0
NGA,Nigeria,Africa,48.9,54.0,0.53,2.384, 195.9 ,0.4,2.1,0.7,0.7
NOR,Norway,Europe,82.0,83.0,0.96,91.608, 5.3 ,5.3,16.0,6.9,3.6
OMN,Oman,Asia,70.1,78.0,0.81,15.797, 4.8 ,10.0,12.8,1.4,4.0
PAK,Pakistan,Asia,57.7,67.0,0.55,1.197, 212.2 ,0.7,1.5,0.3,0.5
PAN,Panama,North America,68.0,78.0,0.81,11.755, 4.2 ,2.2,5.1,2.5,1.8
PNG,Papua New Guinea,Oceania,51.3,64.0,0.55,2.398, 8.6 ,0.4,4.0,3.4,1.1
PRY,Paraguay,South America,66.9,74.0,0.73,5.380, 7.0 ,1.0,8.6,10.1,1.9
PER,Peru,South America,71.1,77.0,0.77,6.440, 32.0 ,1.3,4.5,3.6,1.5
PHL,Philippines,Asia,64.5,71.0,0.71,3.188, 106.7 ,1.1,2.5,0.5,0.9
POL,Poland,Europe,80.2,78.0,0.88,16.666, 37.9 ,5.9,9.5,1.9,3.0
PRT,Portugal,Europe,78.6,81.0,0.86,24.180, 10.3 ,4.3,7.7,1.3,2.9
QAT,Qatar,Asia,66.7,80.0,0.85,63.990, 2.8 ,24.6,26.2,0.9,9.0
MDA,Republic of Moldova,Europe,73.7,72.0,0.75,2.356, 4.1 ,1.7,3.9,1.2,1.2
MKD,Republic of North Macedonia,Europe,72.5,76.0,0.77,5.452, 2.1 ,3.1,5.1,1.5,2.0
REU,Réunion,Africa,,,,, 0.9 ,0.0,6.7,0.2,2.9
ROU,Romania,Europe,75.0,75.0,0.82,11.535, 19.5 ,3.0,7.3,3.2,2.3
RUS,Russian Federation,Europe,73.8,73.0,0.82,11.940, 145.7 ,7.6,11.7,6.7,3.4
RWA,Rwanda,Africa,57.6,69.0,0.54,845, 12.3 ,0.1,1.4,0.4,0.5
LCA,Saint Lucia,North America,,76.0,0.76,9.237, 0.2 ,2.0,3.2,0.3,1.4
WSM,Samoa,Oceania,,73.0,0.71,3.754, 0.2 ,0.0,4.1,1.7,1.7
STP,Sao Tome and Principe,Africa,58.8,70.0,0.62,1.297, 0.2 ,0.0,2.2,0.8,0.8
SAU,Saudi Arabia,Asia,66.3,75.0,0.85,20.829, 33.7 ,9.5,10.8,0.4,3.1
SEN,Senegal,Africa,58.4,68.0,0.52,1.547, 15.9 ,0.5,2.6,1.1,0.9
SRB,Serbia,Europe,75.6,76.0,0.8,5.472, 8.8 ,3.4,6.4,1.7,1.9
SLE,Sierra Leone,Africa,51.7,54.0,0.45,473, 7.7 ,0.2,2.1,1.0,0.7
SGP,Singapore,Asia,69.9,83.0,0.94,57.838, 5.8 ,7.8,9.2,0.1,3.7
SVK,Slovakia,Europe,79.6,77.0,0.86,20.539, 5.5 ,5.2,9.2,2.8,3.0
SVN,Slovenia,Europe,81.6,81.0,0.91,26.710, 2.1 ,5.7,9.6,2.2,3.4
SLB,Solomon Islands,Oceania,,73.0,0.56,1.774, 0.7 ,0.2,8.4,3.6,1.1
SOM,Somalia,Africa,45.6,57.0,,-, 15.0 ,0.1,1.9,0.8,0.6
ZAF,South Africa,Africa,63.7,,0.71,7.440, 57.8 ,5.7,7.2,1.0,2.4
SSD,South Sudan,Africa,38.9,58.0,0.43,-, 11.0 ,0.1,3.2,1.7,1.0
ESP,Spain,Europe,79.5,83.0,0.91,32.981, 46.7 ,4.3,8.1,1.5,2.8
LKA,Sri Lanka,Asia,68.1,77.0,0.78,4.028, 21.2 ,1.0,2.5,0.5,1.0
SDN,Sudan,Africa,49.5,65.0,0.51,1.590, 41.8 ,0.4,2.9,1.4,0.9
SUR,Suriname,South America,67.0,72.0,0.73,8.100, 0.6 ,3.0,6.6,80.4,1.9
SWE,Sweden,Europe,85.6,83.0,0.94,59.068, 10.0 ,4.6,13.3,9.0,4.0
CHE,Switzerland,Europe,80.1,84.0,0.96,79.173, 8.5 ,4.6,6.5,1.0,2.7
SYR,Syrian Arab Republic,Asia,58.0,72.0,0.56,-, 16.9 ,1.4,2.3,0.5,0.8
TJK,Tajikistan,Asia,69.8,71.0,0.66,1.073, 9.1 ,0.6,2.0,0.5,0.7
THA,Thailand,Asia,74.2,77.0,0.77,6.366, 69.4 ,2.7,4.9,1.3,1.5
TLS,Timor-Leste,,,69.0,0.6,840, 1.3 ,0.2,1.0,1.7,0.4
TGO,Togo,Africa,53.2,61.0,0.51,677, 7.9 ,0.3,1.8,0.6,0.7
TON,Tonga,Oceania,,71.0,0.72,4.378, 0.1 ,0.0,3.9,1.1,1.8
TTO,Trinidad and Tobago,North America,63.5,73.0,0.8,15.161, 1.4 ,14.1,15.3,1.5,4.7
TUN,Tunisia,Africa,71.4,77.0,0.74,4.408, 11.6 ,1.9,3.5,0.7,1.3
TUR,Turkey,Asia,70.4,77.0,0.82,15.181, 82.3 ,3.8,6.1,1.3,2.1
TKM,Turkmenistan,Asia,61.1,68.0,0.71,7.648, 5.9 ,8.1,10.0,2.3,3.1
UGA,Uganda,Africa,53.5,63.0,0.54,934, 42.7 ,0.2,2.1,0.5,0.7
UKR,Ukraine,Europe,75.5,72.0,0.77,2.961, 44.2 ,3.0,6.2,2.7,1.5
ARE,United Arab Emirates,Asia,70.2,78.0,0.89,41.325, 9.6 ,12.4,14.7,0.5,5.1
GBR,United Kingdom,Europe,80.0,81.0,0.93,42.894, 67.1 ,4.4,6.9,1.0,2.6
USA,United States of America,North America,76.0,79.0,0.93,54.724, 327.1 ,11.0,15.9,3.4,5.1
URY,Uruguay,South America,74.5,78.0,0.82,14.618, 3.4 ,1.2,10.6,9.3,0.8
UZB,Uzbekistan,Asia,69.8,72.0,0.72,2.409, 32.5 ,2.5,3.8,0.7,1.3
VUT,Vanuatu,Oceania,60.5,70.0,0.6,2.865, 0.3 ,0.0,0.0,,
VEN,Venezuela,South America,59.3,72.0,0.73,-, 28.9 ,2.7,4.7,2.8,1.5
VNM,Viet Nam,Asia,72.8,75.0,0.7,1.968, 95.5 ,2.1,4.3,0.9,1.4
YEM,Yemen,Asia,52.9,66.0,0.47,633, 28.5 ,0.3,0.8,0.4,0.3
ZMB,Zambia,Africa,53.4,,0.58,1.678, 17.4 ,0.4,2.5,1.8,0.8
ZWE,Zimbabwe,Africa,58.7,,0.57,1.306, 14.4 ,0.7,2.3,0.6,0.8
