anio,poblacion,biocapacidad percap,huella ecologica percap,tierra,Id_anio
1961,3091840000,3.15,2.28,0.7238095238095238,f106b7f99d2cb30c3db1c3cc0fde9ccb
1962,3150419968,3.11,2.3,0.7395498392282958,95f6870ff3dcd442254e334a9033d349
1963,3211000064,3.05,2.35,0.7704918032786886,c215b446bcdf956d848a8419c1b5a920
1964,3273979904,3.0,2.4,0.7999999999999999,39dcaf7a053dc372fbc391d4e6b5d693
1965,3339579904,2.95,2.43,0.823728813559322,d46e1fcf4c07ce4a69ee07e4134bcef1
1966,3407920128,2.92,2.49,0.8527397260273973,3683af9d6f6c06acee72992f2977f67e
1967,3478769920,2.87,2.5,0.8710801393728222,a82d922b133be19c1171534e6594f754
1968,3551600128,2.82,2.55,0.9042553191489362,98c7242894844ecd6ec94af67ac8247d
1969,3625679872,2.77,2.6,0.9386281588447654,4d8556695c262ab91ff51a943fdd6058
1970,3700440064,2.72,2.7,0.9926470588235294,0004d0b59e19461ff126e3a08a814c33
1971,3775759872,2.69,2.73,1.0148698884758365,de73998802680548b916f1947ffbad76
1972,3851650048,2.62,2.75,1.049618320610687,c4de8ced6214345614d33fb0b16a8acd
1973,3927780096,2.6,2.84,1.0923076923076922,deb54ffb41e085fd7f69a75b6359c989
1974,4003790080,2.54,2.76,1.0866141732283463,3d863b367aa379f71c7afc0c9cdca41d
1975,4079480064,2.5,2.7,1.08,7d2b92b6726c241134dae6cd3fb8c182
1976,4154670080,2.46,2.77,1.1260162601626016,dd055f53a45702fe05e449c30ac80df9
1977,4229509888,2.42,2.78,1.1487603305785123,4afd521d77158e02aed37e2274b90c9c
1978,4304529920,2.41,2.8,1.1618257261410787,405e28906322882c5be9b4b27f4c35fd
1979,4380510208,2.36,2.82,1.194915254237288,798cebccb32617ad94123450fd137104
1980,4457999872,2.32,2.72,1.1724137931034484,f80bf05527157a8c2a7bb63b22f49aaa
1981,4536999936,2.3,2.64,1.1478260869565218,b3b4d2dbedc99fe843fd3dedb02f086f
1982,4617390080,2.28,2.58,1.1315789473684212,fb87582825f9d28a8d42c5e5e5e8b23d
1983,4699570176,2.23,2.53,1.1345291479820627,1e4d36177d71bbb3558e43af9577d70e
1984,4784010240,2.23,2.59,1.1614349775784754,1b36ea1c9b7a1c3ad668b8bb5df7963f
1985,4870920192,2.2,2.58,1.1727272727272726,1f36c15d6a3d18d52e8d493bc8187cb9
1986,4960569856,2.17,2.58,1.1889400921658988,8c249675aea6c3cbd91661bbae767ff1
1987,5052519936,2.14,2.6,1.2149532710280373,d68a18275455ae3eaa2c291eebb46e6d
1988,5145430016,2.08,2.61,1.2548076923076923,9d7311ba459f9e45ed746755a32dcd11
1989,5237440000,2.07,2.63,1.2705314009661837,4a3e00961a08879c34f91ca0070ea2f5
1990,5327229952,2.06,2.63,1.2766990291262137,dc513ea4fbdaa7a14786ffdebc4ef64e
1991,5414289920,2.01,2.57,1.2786069651741294,96055f5b06bf9381ac43879351642cf5
1992,5498919936,2.01,2.55,1.2686567164179106,d5c186983b52c4551ee00f72316c6eaa
1993,5581599744,1.97,2.51,1.2741116751269037,c5a4e7e6882845ea7bb4d9462868219b
1994,5663150080,1.96,2.51,1.280612244897959,008bd5ad93b754d500338c253d9c1770
1995,5744209920,1.92,2.52,1.3125,3f088ebeda03513be71d34d214291986
1996,5824889856,1.92,2.54,1.3229166666666667,6351bf9dce654515bf1ddbd6426dfa97
1997,5905050112,1.9,2.54,1.336842105263158,06964dce9addb1c5cb5d6e3d9838f733
1998,5984790016,1.89,2.51,1.328042328042328,c5b2cebf15b205503560c4e8e6d1ea78
1999,6064240128,1.87,2.49,1.3315508021390374,5ec829debe54b19a5f78d9a65b900a39
2000,6143490048,1.84,2.51,1.3641304347826084,08f90c1a417155361a5c4b8d297e0d78
2001,6222629888,1.83,2.51,1.3715846994535517,d0fb963ff976f9c37fc81fe03c21ea7b
2002,6301770240,1.81,2.51,1.3867403314917126,4ba29b9f9e5732ed33761840f4ba6c53
2003,6381179904,1.79,2.57,1.435754189944134,a591024321c5e2bdbd23ed35f0574dde
2004,6461159936,1.78,2.66,1.4943820224719102,b8b4b727d6f5d1b61fff7be687f7970f
2005,6541910016,1.76,2.7,1.5340909090909092,d47268e9db2e9aa3827bba3afb7ff94a
2006,6623519744,1.74,2.74,1.574712643678161,ea5a486c712a91e48443cd802642223d
2007,6705950208,1.73,2.78,1.606936416184971,a00e5eb0973d24649a4a920fc53d9564
2008,6789089792,1.73,2.77,1.6011560693641618,ef8446f35513a8d6aa2308357a268a7e
2009,6872770048,1.7,2.69,1.5823529411764703,f1981e4bd8a0d6d8462016d2fc6276b3
2010,6956819968,1.69,2.81,1.6627218934911243,d7a84628c025d30f7b2c52c958767e76
2011,7041189888,1.68,2.84,1.6904761904761905,c8758b517083196f05ac29810b924aca
2012,7125830144,1.64,2.78,1.695121951219512,253614bbac999b38b5b60cae531c4969
2013,7210579968,1.65,2.81,1.7030303030303031,8038da89e49ac5eabb489cfc6cea9fc1
2014,7295289856,1.64,2.77,1.6890243902439026,cee8d6b7ce52554fd70354e37bbf44a2
2015,7379800064,1.62,2.73,1.6851851851851851,65d2ea03425887a717c435081cfc5dbb
2016,7464019968,1.61,2.69,1.670807453416149,95192c98732387165bf8e396c0f2dad2
2017,7547859968,1.61,2.76,1.714285714285714,8d8818c8e140c64c743113f563cf750f
2018,7631090176,1.58,2.77,1.7531645569620251,84ddfb34126fc3a48ee38d7044e87276
2019,7674314922,1.56,2.73,1.75,ea6b2efbdd4255a9f1b3bbc6399b58f4
2020,7756041003,1.61,2.48,1.5403726708074532,7b7a53e239400a13bd6be6c91c4f6c4e
2021,7851163856,1.51,2.7,1.7880794701986755,05a5cf06982ba7892ed2a6d38fe832d6
2022,7948118521,1.52,2.73,1.7960526315789471,3a824154b16ed7dab899bf000b80eeee
